$: |0| finalbitnum: |0| firstbitseller: |0|monero_last_rate: |0| num: |1.0|random_num: |0
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |102.0|random_num: |12.056354492317922
$: |66.0784| finalbitnum: |50.81934185714286| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |103.0|random_num: |11.148429089592028
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |104.0|random_num: |14.491283466907468
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |105.0|random_num: |18.580223909303747
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |106.0|random_num: |19.05834564998413
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |107.0|random_num: |11.203487098947342
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |108.0|random_num: |10.411252869730285
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |109.0|random_num: |15.820405043399642
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |110.0|random_num: |13.357160049788076
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |111.0|random_num: |15.75186272858347
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |112.0|random_num: |19.023231135192788
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |113.0|random_num: |12.276729266755051
$: |66.0784| finalbitnum: |50.824242000000005| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |114.0|random_num: |12.073880933503633
$: |66.0784| finalbitnum: |50.81791328571429| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |115.0|random_num: |16.758703318870985
$: |66.0784| finalbitnum: |50.81791328571429| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |116.0|random_num: |12.431752157113173
$: |66.0784| finalbitnum: |50.81791328571429| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |117.0|random_num: |13.715117965997745
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |118.0|random_num: |15.457708158571263
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |119.0|random_num: |17.472801303892233
$: |66.0784| finalbitnum: |50.81733928571428| firstbitseller: |57.923159999999996|monero_last_rate: |44.293710000000004| num: |120.0|random_num: |12.170095167743394
